CBSA,CBSANAME,Number_of_Tracts,exposure,MV_est54,MV_est51912,MV_est712,MV_est722,MV_est447,W1110_meancommute_E,W1110_carpooled_P,W1110_pubtrans_P,total_tract_pop,black_pop,med_list_sqft2012_2016,med_list_price2012_2016,school_quality,WI_weighted
10780,"Alexandria, LA",4,"B5_10",9.94889,0,.474151,7.38065,5.36851,26.833235,8.9030016,1.0919797,4498.8536,318.0536,102.963,193352,.7642511,4.9582628
10780,"Alexandria, LA",5,"B10_20",25.0799,0,.172844,19.9117,9.30385,23.897415,10.010456,.29383457,5950.8549,714.5183,99.53789,178215.7,.6846763,5.8283656
10780,"Alexandria, LA",12,"B20_50",52.8429,.205245,.783699,43.3456,15.3504,22.059357,11.150038,1.0206188,5103.6436,1379.996,96.10059,167888.4,.6292675,7.073118
10780,"Alexandria, LA",10,"Major",54.9391,.52359,1.75752,40.1909,13.747,19.77048,12.220824,4.7501682,4249.6228,2996.403,88.39407,156771.3,.64665,7.6435439
11100,"Amarillo, TX",14,"Less1",23.7463,.372104,.57866,19.1819,6.44204,21.454715,10.44699,.14402636,5564.3926,22.90273,95.91627,183901.8,.8251114,6.5185822
11100,"Amarillo, TX",26,"B1_5",55.0481,.111705,.641504,60.8732,9.92933,17.538937,10.749793,.41880828,4320.9168,81.77421,87.23389,165253.7,.801899,8.2755255
11100,"Amarillo, TX",17,"B5_10",29.7786,.032411,.628496,38.074,10.1777,17.849479,16.864262,1.0837257,4620.2037,302.1821,78.10233,127948.8,.7756351,7.7623719
11100,"Amarillo, TX",4,"B10_20",52.1134,0,.852891,76.8827,14.8745,19.313559,18.149756,1.2055662,4699.0848,701.3156,71.28405,109321.8,.7617498,8.5583856
11100,"Amarillo, TX",4,"B20_50",16.1957,0,.104253,33.4844,6.91992,17.847965,11.580073,1.4713322,5262.8862,1439.424,69.11305,104796.8,.7709583,6.82682
11100,"Amarillo, TX",1,"Major",8,0,0,37,11,18.2,24.4,4.3,1448,867.352,56.86318,66235.75,.8272561,4.9282059
11460,"Ann Arbor, MI",15,"Less1",50.7403,.074081,.575948,29.6202,5.55534,26.6684,7.5452633,.28284168,5009.9231,15.64236,140.1281,246106,.6079509,5.5874867
11460,"Ann Arbor, MI",27,"B1_5",178.792,.681697,1.60055,98.9691,7.7823,22.193504,6.6032884,6.2997941,4447.368,127.0376,150.8429,290870.8,.7126369,9.8227452
11460,"Ann Arbor, MI",17,"B5_10",183.954,.857816,1.91405,95.9211,8.09016,21.004338,6.0208382,9.1138721,4425.1859,277.8701,151.092,288473.2,.6321457,12.020855
11460,"Ann Arbor, MI",14,"B10_20",136.194,.620266,1.0069,86.551,12.3031,23.068075,8.5176784,6.1989862,3092.018,453.9613,130.1974,220563.3,.4334491,11.813869
